"id","value"
"TemporaryArchitecture.commercial.housing",""
"TemporaryArchitecture.commercial.housing.Bobo","150"
"TemporaryArchitecture.commercial.housing.Wikihouse","144"
"TemporaryArchitecture.commercial.office&space",""
"TemporaryArchitecture.commercial.office&space.Box&Quarter","148"
"TemporaryArchitecture.commercial.office&space.Epic","8"
"TemporaryArchitecture.commercial.office&space.LIVS&HQ","64"
"TemporaryArchitecture.commercial.planning",""
"TemporaryArchitecture.commercial.planning.The&frame","136"
"TemporaryArchitecture.commercial.retail",""
"TemporaryArchitecture.commercial.retail.Dairy&Container_Colombo&Street","188"
"TemporaryArchitecture.commercial.retail.OutoftheBox","218"
"TemporaryArchitecture.commercial.retail.Plume","124"
"TemporaryArchitecture.commercial.retail.Restart","10"
"TemporaryArchitecture.commercial.retail.TheVillageGrape","226"
"TemporaryArchitecture.education",""
"TemporaryArchitecture.education.clean&up",""
"TemporaryArchitecture.education.clean&up.SVA_Cleanup","232"
"TemporaryArchitecture.education.community&space",""
"TemporaryArchitecture.education.community&space.Lions&Transitional&Facility","228"
"TemporaryArchitecture.education.community&space.We&Love&Pop&Up","122"
"TemporaryArchitecture.education.exhibition",""
"TemporaryArchitecture.education.exhibition.Chch-ThroughMyEyes&","346"
"TemporaryArchitecture.education.exhibition.Green&Frame&Exhibition","338"
"TemporaryArchitecture.education.exhibition.infogap","28"
"TemporaryArchitecture.education.festivalSLASHevent",""
"TemporaryArchitecture.education.festivalSLASHevent.luxcity","50"
"TemporaryArchitecture.education.festivalSLASHevent.Reentry","184"
"TemporaryArchitecture.education.festivalSLASHevent.SVA_TheConcert","234"
"TemporaryArchitecture.education.gardenSLASHpark",""
"TemporaryArchitecture.education.gardenSLASHpark.Four&Corners&Youth&Space&","204"
"TemporaryArchitecture.education.gardenSLASHpark.St&Lukes&Labyrinth","210"
"TemporaryArchitecture.education.Kirkwood&Village","92"
"TemporaryArchitecture.education.performance&venue",""
"TemporaryArchitecture.education.performance&venue.UCSA","240"
"TemporaryArchitecture.education.public&campaign",""
"TemporaryArchitecture.education.public&campaign.my&word&is&yours","36"
"TemporaryArchitecture.education.public&game",""
"TemporaryArchitecture.education.public&game.500&Days&Churchill&park","212"
"TemporaryArchitecture.education.public&game.Christchurch_A&boardgame","214"
"TemporaryArchitecture.education.public&game.CPIT&DesignSLASHBuild","164"
"TemporaryArchitecture.education.public&game.Foamapalooza","216"
"TemporaryArchitecture.education.Schools&Combinations","282"
"TemporaryArchitecture.education.sports",""
"TemporaryArchitecture.education.sports.BMX_Track","206"
"TemporaryArchitecture.education.sports.Street&Football","208"
"TemporaryArchitecture.education.street&art",""
"TemporaryArchitecture.education.street&art.Te&Ariki&","266"
"TemporaryArchitecture.festival",""
"TemporaryArchitecture.festival.artwork_by_established_artist",""
"TemporaryArchitecture.festival.artwork_by_established_artist.Scape","104"
"TemporaryArchitecture.festival.bathingSLASHsauna",""
"TemporaryArchitecture.festival.bathingSLASHsauna.Dino&Sauna","186"
"TemporaryArchitecture.festival.festivalSLASHevent",""
"TemporaryArchitecture.festival.festivalSLASHevent.Buskers&Festival","94"
"TemporaryArchitecture.festival.festivalSLASHevent.Gap&Filler&Fun&Fair","160"
"TemporaryArchitecture.festival.festivalSLASHevent.GapFiller_1","154"
"TemporaryArchitecture.festival.festivalSLASHevent.luxcity","50"
"TemporaryArchitecture.festival.festivalSLASHevent.Songs&For&Christchurch","380"
"TemporaryArchitecture.festival.festivalSLASHevent.SVA_TheConcert","234"
"TemporaryArchitecture.festival.performance&venue",""
"TemporaryArchitecture.festival.performance&venue.pallet&pavillion","52"
"TemporaryArchitecture.festival.theatreSLASHperformance",""
"TemporaryArchitecture.festival.theatreSLASHperformance.Breaking&Wonderful","356"
"TemporaryArchitecture.festival.theatreSLASHperformance.Earthquake&in&Chile","246"
"TemporaryArchitecture.festival.theatreSLASHperformance.Stand&Your&Ground","162"
"TemporaryArchitecture.informal",""
"TemporaryArchitecture.informal.protest",""
"TemporaryArchitecture.informal.protest.Occupy&Christchurch","56"
"TemporaryArchitecture.post-disaster",""
"TemporaryArchitecture.post-disaster.artwork_by_established_artist",""
"TemporaryArchitecture.post-disaster.artwork_by_established_artist.Crux","256"
"TemporaryArchitecture.post-disaster.artworkbyamateur",""
"TemporaryArchitecture.post-disaster.artworkbyamateur.Container&Love","378"
"TemporaryArchitecture.post-disaster.bar",""
"TemporaryArchitecture.post-disaster.bar.Great&Depression","332"
"TemporaryArchitecture.post-disaster.bar.Jungle&Patrol","126"
"TemporaryArchitecture.post-disaster.clean&up",""
"TemporaryArchitecture.post-disaster.clean&up.SVA_Cleanup","232"
"TemporaryArchitecture.post-disaster.exhibition",""
"TemporaryArchitecture.post-disaster.exhibition.Ortzeit","156"
"TemporaryArchitecture.post-disaster.festivalSLASHevent",""
"TemporaryArchitecture.post-disaster.festivalSLASHevent.GapFiller_1","154"
"TemporaryArchitecture.post-disaster.festivalSLASHevent.SVA_TheConcert","234"
"TemporaryArchitecture.post-disaster.filmSLASHcinema",""
"TemporaryArchitecture.post-disaster.filmSLASHcinema.Cycle&Powered&Cinema","176"
"TemporaryArchitecture.post-disaster.libraries",""
"TemporaryArchitecture.post-disaster.libraries.Think&Differently&Book&Exchange","166"
"TemporaryArchitecture.post-disaster.memorial",""
